Distribution,n,Method,Coverage,AvgWidth,Bias,MSE,TypeIError,MCStdErrCoverage
LognormalHigh,500,z-interval,0.9071,0.4571762658114234,-0.00022932355476878996,0.017283033929523135,0.0926,0.0029029224929370745
LognormalHigh,500,bootstrap,0.909,0.4478786276703524,-0.00022932355476878996,0.017283033929523135,0.091,0.0028760910973055073
Mixture,25,t-interval,0.6711,1.2086515483813394,-0.013949160309648545,2.0496223297285674,0.3289,0.004698135694081217
Mixture,25,z-interval,0.6504,1.147785820838681,-0.013949160309648545,2.0496223297285674,0.3289,0.0047684362216559
Mixture,25,bootstrap,0.6637,1.019809239138471,-0.013949160309648545,2.0496223297285674,0.3363,0.00472442917186828
Mixture,50,t-interval,0.6352,1.0067393618209364,-0.006753372109018496,0.5960683504611981,0.3648,0.004813740333669859
Mixture,50,z-interval,0.627,0.9818855519968649,-0.006753372109018496,0.5960683504611981,0.3648,0.004836021091765419
Mixture,50,bootstrap,0.6433,0.8807387647325471,-0.006753372109018496,0.5960683504611981,0.3567,0.0047902516635350174
Mixture,100,t-interval,0.6075,0.8223290013208326,-0.010575878566730923,0.2553028556678945,0.3925,0.004883070243197409
Mixture,100,z-interval,0.604,0.81227772232417,-0.010575878566730923,0.2553028556678945,0.3925,0.00489064412935556
Mixture,100,bootstrap,0.621,0.7365184103670549,-0.010575878566730923,0.2553028556678945,0.379,0.004851381246614206
Mixture,250,t-interval,0.6312,0.6815508289446517,0.0003420829226463695,0.1611475124271745,0.3688,0.004824795954234749
Mixture,250,z-interval,0.6298,0.6782381687352423,0.0003420829226463695,0.1611475124271745,0.3688,0.004828581158062894
Mixture,250,bootstrap,0.6491,0.6182209138483257,0.0003420829226463695,0.1611475124271745,0.3509,0.0047725170507814845
Mixture,500,t-interval,0.6747,0.566608038978296,0.0005688507293133416,0.15583468761385985,0.3253,0.00468486830124391
Mixture,500,z-interval,0.6743,0.5652337440679566,0.0005688507293133416,0.15583468761385985,0.3253,0.004686357967547934
Mixture,500,bootstrap,0.6932,0.5210719710090429,0.0005688507293133416,0.15583468761385985,0.3068,0.004611656535346057
